Table,Column,Type,Description
Categories,CategoryID,"INT (PK, Identity)",شناسه یکتا
Categories,CategoryName,NVARCHAR(15),نام دسته‌بندی
Categories,Description,NVARCHAR(MAX),توضیح
Categories,Picture,IMAGE,تصویر دسته‌بندی
Customers,CustomerID,NCHAR(5) (PK),شناسه مشتری
Customers,CompanyName,NVARCHAR(40),نام شرکت
Customers,ContactName,NVARCHAR(30),نام مخاطب
Customers,ContactTitle,NVARCHAR(30),سمت مخاطب
Customers,Address,NVARCHAR(60),آدرس
Customers,City,NVARCHAR(15),شهر
Customers,Region,NVARCHAR(15),ناحیه
Customers,PostalCode,NVARCHAR(10),کدپستی
Customers,Country,NVARCHAR(15),کشور
Customers,Phone,NVARCHAR(24),تلفن
Customers,Fax,NVARCHAR(24),فکس
Employees,EmployeeID,"INT (PK, Identity)",شناسه کارمند
Employees,LastName,NVARCHAR(20),نام خانوادگی
Employees,FirstName,NVARCHAR(10),نام
Employees,Title,NVARCHAR(30),عنوان شغلی
Employees,TitleOfCourtesy,NVARCHAR(25),عنوان محترمانه
Employees,BirthDate,DATETIME,تاریخ تولد
Employees,HireDate,DATETIME,تاریخ استخدام
Employees,Address,NVARCHAR(60),آدرس
Employees,City,NVARCHAR(15),شهر
Employees,Region,NVARCHAR(15),ناحیه
Employees,PostalCode,NVARCHAR(10),کدپستی
Employees,Country,NVARCHAR(15),کشور
Employees,HomePhone,NVARCHAR(24),تلفن منزل
Employees,Extension,NVARCHAR(4),داخلی تلفن
Employees,Photo,IMAGE,عکس
Employees,Notes,NVARCHAR(MAX),یادداشت
Employees,ReportsTo,INT (FK → Employees.EmployeeID),مدیر مستقیم
Employees,PhotoPath,NVARCHAR(255),مسیر عکس
Suppliers,SupplierID,"INT (PK, Identity)",شناسه تأمین‌کننده
Suppliers,CompanyName,NVARCHAR(40),نام شرکت
Suppliers,ContactName,NVARCHAR(30),نام مخاطب
Suppliers,ContactTitle,NVARCHAR(30),سمت
Suppliers,Address,NVARCHAR(60),آدرس
Suppliers,City,NVARCHAR(15),شهر
Suppliers,Region,NVARCHAR(15),ناحیه
Suppliers,PostalCode,NVARCHAR(10),کدپستی
Suppliers,Country,NVARCHAR(15),کشور
Suppliers,Phone,NVARCHAR(24),تلفن
Suppliers,Fax,NVARCHAR(24),فکس
Suppliers,HomePage,NVARCHAR(MAX),صفحه وب
Products,ProductID,"INT (PK, Identity)",شناسه محصول
Products,ProductName,NVARCHAR(40),نام محصول
Products,SupplierID,INT (FK → Suppliers.SupplierID),تأمین‌کننده
Products,CategoryID,INT (FK → Categories.CategoryID),دسته‌بندی
Products,QuantityPerUnit,NVARCHAR(20),مقدار هر بسته
Products,UnitPrice,MONEY,قیمت واحد
Products,UnitsInStock,SMALLINT,موجودی انبار
Products,UnitsOnOrder,SMALLINT,سفارش در حال انجام
Products,ReorderLevel,SMALLINT,حد سفارش مجدد
Products,Discontinued,BIT,قطع تولید
Orders,OrderID,"INT (PK, Identity)",شناسه سفارش
Orders,CustomerID,NCHAR(5) (FK → Customers.CustomerID),مشتری
Orders,EmployeeID,INT (FK → Employees.EmployeeID),کارمند ثبت‌کننده
Orders,OrderDate,DATETIME,تاریخ سفارش
Orders,RequiredDate,DATETIME,تاریخ موردنیاز
Orders,ShippedDate,DATETIME,تاریخ ارسال
Orders,ShipVia,INT (FK → Shippers.ShipperID),شرکت حمل
Orders,Freight,MONEY,کرایه حمل
Orders,ShipName,NVARCHAR(40),نام گیرنده
Orders,ShipAddress,NVARCHAR(60),آدرس ارسال
Orders,ShipCity,NVARCHAR(15),شهر
Orders,ShipRegion,NVARCHAR(15),ناحیه
Orders,ShipPostalCode,NVARCHAR(10),کدپستی
Orders,ShipCountry,NVARCHAR(15),کشور
Order Details,OrderID,"INT (PK, FK → Orders.OrderID)",سفارش
Order Details,ProductID,"INT (PK, FK → Products.ProductID)",محصول
Order Details,UnitPrice,MONEY,قیمت واحد
Order Details,Quantity,SMALLINT,تعداد
Order Details,Discount,REAL,تخفیف
Shippers,ShipperID,"INT (PK, Identity)",شناسه حمل‌کننده
Shippers,CompanyName,NVARCHAR(40),نام شرکت
Shippers,Phone,NVARCHAR(24),تلفن
Territories,TerritoryID,NVARCHAR(20) (PK),شناسه محدوده
Territories,TerritoryDescription,NVARCHAR(50),توضیح
Territories,RegionID,INT (FK → Region.RegionID),منطقه جغرافیایی
Region,RegionID,INT (PK),شناسه منطقه
Region,RegionDescription,NVARCHAR(50),توضیح
EmployeeTerritories,EmployeeID,"INT (PK, FK → Employees.EmployeeID)",کارمند
EmployeeTerritories,TerritoryID,"NVARCHAR(20) (PK, FK → Territories.TerritoryID)",محدوده کاری
